Name,Sex,Country,Swim time,Time T1,Cycle time,Time T2,Run time,Total time,T-shirt,Finish at,Swim distance,Bike distance,Run distance,Year
Christian Houge-Thiis,Male,Norway,0 days 00:52:00,0 days 00:02:08,0 days 06:40:00,0 days 00:02:08,0 days 05:12:13,0 days 12:48:28,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Mathias  Rasch-Halvorsen,Male,Norway,0 days 01:14:00,0 days 00:03:30,0 days 06:59:00,0 days 00:03:30,0 days 04:52:30,0 days 13:12:30,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
BjÃ¸rn  Wigdel,Male,Norway,0 days 00:49:50,0 days 00:02:55,0 days 07:13:00,0 days 00:02:55,0 days 06:47:43,0 days 14:56:23,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Tom B Mikalsen,Male,Norway,0 days 01:12:00,0 days 00:06:00,0 days 07:52:00,0 days 00:06:00,0 days 05:51:56,0 days 15:07:56,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
BjÃ¸rn-Thomas Stenersen,Male,Norway,0 days 01:18:40,0 days 00:10:00,0 days 07:30:00,0 days 00:10:00,0 days 06:01:07,0 days 15:09:47,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Pascal MÃ¸rch,Male,Norway,0 days 01:22:00,0 days 00:10:45,0 days 07:58:00,0 days 00:10:45,0 days 05:44:46,0 days 15:26:16,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Nicolas WÃ¦renskjold,Male,Norway,0 days 01:28:00,0 days 00:07:00,0 days 07:22:00,0 days 00:07:00,0 days 06:28:39,0 days 15:32:39,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Einar Idland,Male,Norway,0 days 01:18:30,0 days 00:05:30,0 days 07:29:00,0 days 00:05:30,0 days 06:34:09,0 days 15:32:39,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Knut Vidar Rognli,Male,Norway,0 days 01:21:00,0 days 00:11:00,0 days 07:58:00,0 days 00:11:00,0 days 05:59:22,0 days 15:40:22,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Fredrik Mandt,Male,Norway,0 days 01:29:00,0 days 00:04:00,0 days 07:47:00,0 days 00:04:00,0 days 06:19:10,0 days 15:43:10,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
HÃ¥rek Stranheim,Male,Norway,0 days 01:13:00,0 days 00:04:30,0 days 07:50:00,0 days 00:04:30,0 days 06:32:34,0 days 15:44:34,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Jan Wilhelm Werner,Male,Norway,0 days 01:20:00,0 days 00:06:30,0 days 08:25:00,0 days 00:06:30,0 days 06:05:55,0 days 16:03:55,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Guy M. Huste,Male,Norway,0 days 01:04:00,0 days 00:12:30,0 days 07:37:00,0 days 00:12:30,0 days 07:32:15,0 days 16:38:15,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Ole RÃ¸nningen,Male,Norway,0 days 01:08:00,0 days 00:05:00,0 days 07:41:00,0 days 00:05:00,0 days 07:51:52,0 days 16:50:52,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Thor SÃ¸dal,Male,Norway,0 days 01:58:00,0 days 00:09:30,0 days 08:59:00,0 days 00:09:30,0 days 06:09:20,0 days 17:25:20,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Clive Hough,Male,Norway,0 days 00:53:00,0 days 00:10:00,0 days 07:55:00,0 days 00:10:00,0 days 09:04:38,0 days 18:12:38,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Jone Tveitane,Male,Norway,0 days 01:04:00,0 days 00:06:30,0 days 08:26:00,0 days 00:06:30,0 days 08:32:43,0 days 18:15:43,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Gunnar Halland,Male,Norway,0 days 01:38:00,0 days 00:13:30,0 days 07:31:00,0 days 00:13:30,0 days 08:39:43,0 days 18:15:43,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Jone Jonsson,Male,Norway,0 days 01:04:00,0 days 00:07:00,0 days 08:48:00,0 days 00:07:00,0 days 08:20:30,0 days 18:26:30,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Rune  HÃ¸ydal,Male,Norway,0 days 01:12:44,0 days 00:00:00,0 days 05:54:12,0 days 00:00:00,0 days 04:23:12,0 days 11:30:08,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
HÃ¥vard Jenssen,Male,Norway,0 days 01:07:50,0 days 00:00:00,0 days 06:27:48,0 days 00:00:00,0 days 04:36:42,0 days 12:12:20,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Christian Houge-Thiis,Male,Norway,0 days 00:59:23,0 days 00:00:00,0 days 06:37:50,0 days 00:00:00,0 days 04:43:15,0 days 12:20:28,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Ãyvind Lillehagen,Male,Norway,0 days 01:14:57,0 days 00:00:00,0 days 06:21:57,0 days 00:00:00,0 days 04:58:47,0 days 12:35:41,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
David Ekroll,Male,Norway,0 days 01:27:47,0 days 00:00:00,0 days 06:21:44,0 days 00:00:00,0 days 05:20:23,0 days 13:09:54,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Per-Gunnar Mustad,Male,Norway,0 days 01:21:36,0 days 00:00:00,0 days 06:33:30,0 days 00:00:00,0 days 05:18:11,0 days 13:13:17,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Rune Kr. StÃ¥lstrÃ¸m,Male,Norway,0 days 00:58:19,0 days 00:00:00,0 days 07:08:05,0 days 00:00:00,0 days 05:08:06,0 days 13:14:30,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Trude Andersen,Female,Norway,0 days 01:12:10,0 days 00:00:00,0 days 07:09:41,0 days 00:00:00,0 days 04:53:29,0 days 13:15:20,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Mauro Ciarrocchi,Male,Italy,0 days 01:01:24,0 days 00:00:00,0 days 07:11:23,0 days 00:00:00,0 days 05:10:12,0 days 13:22:59,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Leif Oddvin Jensen,Male,Norway,0 days 02:08:02,0 days 00:00:00,0 days 06:30:43,0 days 00:00:00,0 days 04:45:44,0 days 13:24:29,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Kenneth Gavoll-Hansen,Male,Norway,0 days 01:03:33,0 days 00:00:00,0 days 06:50:22,0 days 00:00:00,0 days 05:30:34,0 days 13:24:29,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Svein SÃ¸li,Male,Norway,0 days 01:20:36,0 days 00:00:00,0 days 07:04:16,0 days 00:00:00,0 days 05:03:09,0 days 13:28:01,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Tom  Remman,Male,Norway,0 days 01:01:43,0 days 00:00:00,0 days 06:37:52,0 days 00:00:00,0 days 05:51:29,0 days 13:31:04,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Henrik Sollie,Male,Norway,0 days 01:31:47,0 days 00:00:00,0 days 07:15:38,0 days 00:00:00,0 days 04:47:05,0 days 13:34:30,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
BjÃ¸rn-Tore Lunde,Male,Norway,0 days 01:28:45,0 days 00:00:00,0 days 07:01:12,0 days 00:00:00,0 days 05:24:13,0 days 13:54:10,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Ole Reidar Lindsverk,Male,Norway,0 days 01:19:58,0 days 00:00:00,0 days 07:06:52,0 days 00:00:00,0 days 05:30:51,0 days 13:57:41,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Per Richard Olaussen,Male,Norway,0 days 01:43:20,0 days 00:00:00,0 days 07:12:16,0 days 00:00:00,0 days 05:08:25,0 days 14:04:01,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Nicolas WÃ¦renskjold,Male,Norway,0 days 01:17:12,0 days 00:00:00,0 days 07:15:45,0 days 00:00:00,0 days 05:34:23,0 days 14:07:20,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Trond LunÃ¥shaug,Male,Norway,0 days 01:10:49,0 days 00:00:00,0 days 07:10:56,0 days 00:00:00,0 days 05:52:54,0 days 14:14:39,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Adam Laycock,Male,England,0 days 01:05:56,0 days 00:00:00,0 days 07:23:23,0 days 00:00:00,0 days 06:06:31,0 days 14:35:50,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Chapuis Francois,Male,France,0 days 01:14:11,0 days 00:00:00,0 days 07:47:25,0 days 00:00:00,0 days 05:40:31,0 days 14:42:07,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Solveig Gysland,Female,Norway,0 days 01:12:30,0 days 00:00:00,0 days 07:58:43,0 days 00:00:00,0 days 05:34:40,0 days 14:45:53,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Martin Egeskov Pedersen,Male,Denmark,0 days 00:59:52,0 days 00:00:00,0 days 06:50:38,0 days 00:00:00,0 days 06:55:39,0 days 14:46:09,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Marco Tuinenburg,Male,Thailand,0 days 01:26:12,0 days 00:00:00,0 days 07:08:12,0 days 00:00:00,0 days 06:18:34,0 days 14:52:58,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Joachim Reitan,Male,Norway,0 days 01:39:05,0 days 00:00:00,0 days 07:18:54,0 days 00:00:00,0 days 05:56:03,0 days 14:54:02,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Eyvind Kartveit,Male,Norway,0 days 01:00:00,0 days 00:00:00,0 days 07:44:49,0 days 00:00:00,0 days 06:10:39,0 days 14:55:28,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Michael Ward,Male,England,0 days 01:09:44,0 days 00:00:00,0 days 07:31:38,0 days 00:00:00,0 days 06:15:42,0 days 14:57:04,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
BjÃ¸rn-Thomas Stenersen,Male,Norway,0 days 01:27:36,0 days 00:00:00,0 days 07:44:17,0 days 00:00:00,0 days 05:54:55,0 days 15:06:48,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Harald Sjulstad,Male,Norway,0 days 01:13:16,0 days 00:00:00,0 days 07:14:07,0 days 00:00:00,0 days 06:39:25,0 days 15:06:48,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Stian Kvernsmyr,Male,Norway,0 days 01:27:14,0 days 00:00:00,0 days 07:45:09,0 days 00:00:00,0 days 05:54:25,0 days 15:06:48,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Roald Handeland,Male,Norway,0 days 01:33:35,0 days 00:00:00,0 days 07:26:13,0 days 00:00:00,0 days 06:07:00,0 days 15:06:48,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
John Hey,Male,England,0 days 01:22:18,0 days 00:00:00,0 days 07:45:50,0 days 00:00:00,0 days 06:17:11,0 days 15:25:19,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Kjell Richard Botten,Male,Norway,0 days 01:11:16,0 days 00:00:00,0 days 07:33:56,0 days 00:00:00,0 days 06:40:12,0 days 15:25:24,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Asle Ãydvin,Male,Norway,0 days 01:37:58,0 days 00:00:00,0 days 08:03:22,0 days 00:00:00,0 days 05:48:09,0 days 15:29:29,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Ole Richard Holm-Olsen,Male,Norway,0 days 01:05:21,0 days 00:00:00,0 days 07:14:51,0 days 00:00:00,0 days 07:09:32,0 days 15:29:44,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Michael Clark,Male,England,0 days 01:01:24,0 days 00:00:00,0 days 07:27:54,0 days 00:00:00,0 days 07:02:47,0 days 15:32:05,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
JÃ¸rn Willy Olafsen,Male,Norway,0 days 01:14:00,0 days 00:00:00,0 days 08:10:37,0 days 00:00:00,0 days 06:12:02,0 days 15:36:39,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
BjÃ¸rn  Wigdel,Male,Norway,0 days 00:59:52,0 days 00:00:00,0 days 07:36:04,0 days 00:00:00,0 days 07:10:49,0 days 15:46:45,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Kjetil BergflÃ¸dt,Male,Norway,0 days 01:13:55,0 days 00:00:00,0 days 07:44:08,0 days 00:00:00,0 days 06:48:42,0 days 15:46:45,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Ove Hansen,Male,Norway,0 days 01:26:18,0 days 00:00:00,0 days 07:37:45,0 days 00:00:00,0 days 06:48:32,0 days 15:52:35,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Per Steinar Leirvik,Male,Norway,0 days 01:30:39,0 days 00:00:00,0 days 07:44:56,0 days 00:00:00,0 days 06:37:44,0 days 15:53:19,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Guy M. Huste,Male,Norway,0 days 01:20:51,0 days 00:00:00,0 days 08:12:29,0 days 00:00:00,0 days 06:21:57,0 days 15:55:17,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Tim Bennett,Male,Norway,0 days 02:27:57,0 days 00:00:00,0 days 07:57:40,0 days 00:00:00,0 days 05:33:26,0 days 15:59:03,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Oscar Petroboni,Male,Switzerland ,0 days 01:14:27,0 days 00:00:00,0 days 08:03:39,0 days 00:00:00,0 days 06:44:20,0 days 16:02:26,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Jan Wilhelm Werner,Male,Norway,0 days 01:32:54,0 days 00:00:00,0 days 08:35:15,0 days 00:00:00,0 days 05:54:56,0 days 16:03:05,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Thierry Olyslager,Male,Belgium,0 days 01:16:29,0 days 00:00:00,0 days 08:21:39,0 days 00:00:00,0 days 06:27:12,0 days 16:05:20,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Jan Ãge Sakariassen,Male,Norway,0 days 01:36:01,0 days 00:00:00,0 days 08:28:48,0 days 00:00:00,0 days 06:08:15,0 days 16:13:04,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Thor SÃ¸dal,Male,Norway,0 days 02:02:20,0 days 00:00:00,0 days 08:23:28,0 days 00:00:00,0 days 05:50:14,0 days 16:16:02,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Trond Magnus Kristansen,Male,Norway,0 days 01:20:17,0 days 00:00:00,0 days 08:23:57,0 days 00:00:00,0 days 06:35:46,0 days 16:20:00,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Frode Forgard,Male,Norway,0 days 01:55:01,0 days 00:00:00,0 days 07:48:08,0 days 00:00:00,0 days 06:41:38,0 days 16:24:47,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Jone Tveitane,Male,Norway,0 days 01:12:10,0 days 00:00:00,0 days 08:01:53,0 days 00:00:00,0 days 07:11:29,0 days 16:25:32,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Marius AmbjÃ¸rndalen,Male,Norway,0 days 01:25:55,0 days 00:00:00,0 days 07:50:25,0 days 00:00:00,0 days 07:10:15,0 days 16:26:35,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Neil Keirs,Male,England,0 days 01:18:34,0 days 00:00:00,0 days 08:10:38,0 days 00:00:00,0 days 07:09:13,0 days 16:38:25,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Fredrik Mandt,Male,Norway,0 days 01:49:00,0 days 00:00:00,0 days 07:29:00,0 days 00:00:00,0 days 07:21:00,0 days 16:39:00,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Gunnar Halland,Male,Norway,0 days 01:48:07,0 days 00:00:00,0 days 07:51:30,0 days 00:00:00,0 days 07:01:12,0 days 16:40:49,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Ingvill Merete StedÃ¸y,Female,Norway,0 days 01:54:22,0 days 00:00:00,0 days 08:33:13,0 days 00:00:00,0 days 06:14:03,0 days 16:41:38,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Leif  Magne Solstad,Male,Norway,0 days 01:20:35,0 days 00:00:00,0 days 08:02:53,0 days 00:00:00,0 days 07:22:17,0 days 16:45:45,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Trond Kristensen,Male,Norway,0 days 02:16:51,0 days 00:00:00,0 days 08:10:59,0 days 00:00:00,0 days 06:25:58,0 days 16:53:48,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Jone Jonsson,Male,Norway,0 days 01:34:27,0 days 00:00:00,0 days 08:25:06,0 days 00:00:00,0 days 06:55:57,0 days 16:55:30,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Elisabeth Skarstein Waaler,Female,Norway,0 days 01:34:44,0 days 00:00:00,0 days 08:30:00,0 days 00:00:00,0 days 06:51:32,0 days 16:56:16,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Jon Funderud,Male,Norway,0 days 01:55:08,0 days 00:00:00,0 days 08:29:14,0 days 00:00:00,0 days 06:38:20,0 days 17:02:42,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Olaf V. Ellefsen,Male,Norway,0 days 01:25:17,0 days 00:00:00,0 days 08:20:02,0 days 00:00:00,0 days 07:22:00,0 days 17:07:19,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Bjarte EikÃ¥s,Male,Norway,0 days 01:33:28,0 days 00:00:00,0 days 08:11:09,0 days 00:00:00,0 days 07:33:53,0 days 17:18:30,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
HÃ¥rek Stranheim,Male,Norway,0 days 01:52:10,0 days 00:00:00,0 days 08:47:48,0 days 00:00:00,0 days 06:44:32,0 days 17:24:30,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Marcel Leist,Male,Germany,0 days 01:13:33,0 days 00:00:00,0 days 08:59:47,0 days 00:00:00,0 days 07:40:54,0 days 17:54:14,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Trond Jensen,Male,Norway,0 days 01:37:41,0 days 00:00:00,0 days 08:23:04,0 days 00:00:00,0 days 07:55:10,0 days 17:55:55,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Jean-Philippe Cuisinier,Male,France,0 days 01:10:20,0 days 00:00:00,0 days 08:21:10,0 days 00:00:00,0 days 08:26:19,0 days 17:57:49,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Attila SzabÃ³ ,Male,Hungary,0 days 01:12:10,0 days 00:00:00,0 days 08:52:09,0 days 00:00:00,0 days 07:54:02,0 days 17:58:21,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Morten Anfinnsen,Male,Norway,0 days 01:29:30,0 days 00:00:00,0 days 08:33:20,0 days 00:00:00,0 days 08:13:25,0 days 18:16:15,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
AndrÃ¨  Mehnert,Male,Norway,0 days 01:30:38,0 days 00:00:00,0 days 08:18:40,0 days 00:00:00,0 days 08:36:00,0 days 18:25:18,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Kenneth YtterbÃ¸,Male,Norway,0 days 01:39:29,0 days 00:00:00,0 days 09:16:13,0 days 00:00:00,0 days 07:39:57,0 days 18:35:39,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Hans Einar Danielsen,Male,Norway,0 days 01:48:07,0 days 00:00:00,0 days 08:49:39,0 days 00:00:00,0 days 07:57:53,0 days 18:35:39,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Dave Baker,Male,England,0 days 01:31:37,0 days 00:00:00,0 days 09:07:49,0 days 00:00:00,0 days 08:48:56,0 days 19:28:22,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Ross Lovell,Male,England,0 days 01:30:50,0 days 00:00:00,0 days 09:08:36,0 days 00:00:00,0 days 08:48:58,0 days 19:28:24,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Christopher Olof Grundberg,Male,England,0 days 01:30:40,0 days 00:00:00,0 days 09:08:46,0 days 00:00:00,0 days 08:49:00,0 days 19:28:26,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Steinar Vike,Male,Norway,0 days 01:28:59,0 days 00:00:00,0 days 08:42:56,0 days 00:00:00,0 days 09:27:51,0 days 19:39:46,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Vidar Markussen,Male,Norway,0 days 01:50:26,0 days 00:00:00,0 days 09:35:04,0 days 00:00:00,0 days 08:20:00,0 days 19:45:30,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Gunnar Gullaksen,Male,Norway,0 days 01:52:25,0 days 00:00:00,0 days 09:50:44,0 days 00:00:00,0 days 08:02:41,0 days 19:45:50,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Tony GjessvÃ¥g,Male,Norway,0 days 01:40:42,0 days 00:00:00,0 days 09:03:47,0 days 00:00:00,0 days 09:01:31,0 days 19:46:00,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Harald FrÃ¸ysnes,Male,Norway,0 days 01:53:59,0 days 00:00:00,0 days 09:11:05,0 days 00:00:00,0 days 08:46:45,0 days 19:51:49,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Christer Svantesson,Male,Sweden,0 days 02:15:23,0 days 00:00:00,0 days 09:24:40,0 days 00:00:00,0 days 08:12:02,0 days 19:52:05,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Morten Svihus,Male,Norway,0 days 01:35:15,0 days 00:00:00,0 days 09:29:05,0 days 00:00:00,0 days 09:49:30,0 days 20:53:50,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Lars Endre Jensen,Male,Norway,0 days 01:23:41,0 days 00:00:00,0 days 09:41:47,0 days 00:00:00,0 days 10:06:56,0 days 21:12:24,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Petter FÃ¸yn,Male,Norway,0 days 01:36:00,0 days 00:00:00,0 days 10:26:37,0 days 00:00:00,0 days 09:09:47,0 days 21:12:24,Black,Gaustatoppen,3800.0,180.0,42.0,2004.0
Anette Jacobsen,Female,Norway,0 days 01:34:53,0 days 00:00:00,0 days 10:52:01,0 days 00:00:00,0 days 09:27:06,0 days 21:54:00,Black,1000 meters,3800.0,180.0,42.0,2004.0
Kenneth Bruun,Male,Norway,0 days 02:09:27,0 days 00:00:00,0 days 10:09:11,0 days 00:00:00,0 days 09:46:42,0 days 22:05:20,Black,1000 meters,3800.0,180.0,42.0,2004.0
Ole Stougaard,Male,Denmark,0 days 00:49:48,0 days 00:01:22,0 days 05:50:26,0 days 00:01:22,0 days 04:07:00,0 days 10:49:57,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
Thomas Nesset Sundal,Male,Norway,0 days 01:09:06,0 days 00:02:09,0 days 05:23:55,0 days 00:02:09,0 days 04:25:30,0 days 11:02:49,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
Jonas Colting,Male,Sweden,0 days 00:49:18,0 days 00:02:22,0 days 05:51:35,0 days 00:02:22,0 days 04:38:14,0 days 11:23:52,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
PÃ¥l Cato Elshaug,Male,Norway,0 days 01:08:58,0 days 00:01:36,0 days 05:59:50,0 days 00:01:36,0 days 04:12:26,0 days 11:24:25,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
Per Martin Lund,Male,Norway,0 days 01:00:32,0 days 00:03:04,0 days 05:38:38,0 days 00:03:04,0 days 04:59:11,0 days 11:44:28,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
Tom  Remman,Male,Norway,0 days 00:51:35,0 days 00:01:34,0 days 05:56:01,0 days 00:01:34,0 days 04:56:51,0 days 11:47:34,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
Frank Denis Kristiansen,Male,Norway,0 days 00:55:56,0 days 00:02:46,0 days 06:18:29,0 days 00:02:46,0 days 04:34:44,0 days 11:54:42,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
Marco Haverl,Male,Austria,0 days 01:05:22,0 days 00:04:58,0 days 06:14:44,0 days 00:04:58,0 days 04:38:49,0 days 12:08:50,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
Frode Bergan,Male,Norway,0 days 01:15:03,0 days 00:01:53,0 days 05:51:47,0 days 00:01:53,0 days 04:58:31,0 days 12:09:07,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
Christian Houge-Thiis,Male,Norway,0 days 00:55:44,0 days 00:01:52,0 days 06:26:26,0 days 00:01:52,0 days 04:48:08,0 days 12:14:03,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
Leif Oddvin  Jensen,Male,Norway,0 days 01:34:38,0 days 00:02:11,0 days 05:57:57,0 days 00:02:11,0 days 04:42:08,0 days 12:19:05,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
Henrik Sollie,Male,Norway,0 days 01:16:48,0 days 00:04:20,0 days 06:43:12,0 days 00:04:20,0 days 04:25:07,0 days 12:33:48,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
Flemming  Kristiansen,Male,Norway,0 days 01:15:13,0 days 00:04:26,0 days 06:31:07,0 days 00:04:26,0 days 04:40:56,0 days 12:36:08,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
Espen Wagener,Male,Norway,0 days 01:04:22,0 days 00:01:32,0 days 05:57:36,0 days 00:01:32,0 days 05:33:33,0 days 12:38:36,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
Stephane GROUX,Male,France,0 days 00:58:08,0 days 00:02:40,0 days 06:01:43,0 days 00:02:40,0 days 05:46:50,0 days 12:52:01,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
Geir KjÃ¦r,Male,Norway,0 days 01:06:18,0 days 00:02:58,0 days 06:25:51,0 days 00:02:58,0 days 05:15:21,0 days 12:53:26,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
Joachim Reitan,Male,Norway,0 days 01:15:54,0 days 00:02:38,0 days 06:25:42,0 days 00:02:38,0 days 05:11:20,0 days 12:58:12,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
Jens Richter,Male,Germany,0 days 00:56:36,0 days 00:04:22,0 days 06:35:24,0 days 00:04:22,0 days 05:17:56,0 days 12:58:41,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
John Hey,Male,United Kingdom,0 days 01:08:08,0 days 00:05:58,0 days 06:33:39,0 days 00:05:58,0 days 05:12:58,0 days 13:06:42,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
Rune Holtze jensen,Male,Norway,0 days 01:06:05,0 days 00:03:51,0 days 06:16:26,0 days 00:03:51,0 days 05:39:33,0 days 13:09:46,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
HÃ¥kon Imbsen,Male,Norway,0 days 01:18:09,0 days 00:05:00,0 days 06:29:44,0 days 00:05:00,0 days 05:12:47,0 days 13:10:40,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
JACOB (JON) SCHOL,Male,Australia,0 days 01:01:26,0 days 00:04:30,0 days 06:27:39,0 days 00:04:30,0 days 05:40:36,0 days 13:18:41,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
Kenneth Gavoll-Hansen,Male,Norway,0 days 00:52:59,0 days 00:02:25,0 days 06:16:36,0 days 00:02:25,0 days 06:06:29,0 days 13:20:54,Black,Gaustatoppen,3800.0,180.0,42.0,2006.0
