Name,Sex,Country,Swim time,Time T1,Cycle time,Time T2,Run time,Total time,T-shirt,Finish at,Swim distance,Bike distance,Run distance,Year
Rowena Butler,Female,Australia,0 days 01:47:15,0 days 00:06:42,0 days 07:42:43,0 days 00:06:42,0 days 06:12:30,0 days 15:55:51,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Melanie Gautchi,Female,Switzerland,0 days 01:38:40,0 days 00:06:11,0 days 07:27:30,0 days 00:06:11,0 days 06:39:28,0 days 15:58:00,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Richard Bains,Male,United Kingdom,0 days 01:32:25,0 days 00:04:27,0 days 07:24:51,0 days 00:04:27,0 days 06:52:37,0 days 15:58:47,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Aston Woodward,Male,United Kingdom,0 days 01:48:04,0 days 00:06:09,0 days 07:55:59,0 days 00:06:09,0 days 06:04:49,0 days 16:01:10,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Schalk Herselman,Male,South Africa,0 days 02:22:10,0 days 00:05:12,0 days 07:20:52,0 days 00:05:12,0 days 06:07:45,0 days 16:01:10,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Tommy Aslaksen,Male,Norway,0 days 01:52:08,0 days 00:04:05,0 days 07:04:41,0 days 00:04:05,0 days 07:03:46,0 days 16:08:45,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Brechan Northern,Male,United Kingdom,0 days 01:47:12,0 days 00:05:18,0 days 07:50:53,0 days 00:05:18,0 days 06:20:09,0 days 16:08:51,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
James Watson,Male,United Kingdom,0 days 01:38:20,0 days 00:06:34,0 days 07:11:56,0 days 00:06:34,0 days 07:06:46,0 days 16:10:09,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Tom  Credland,Male,United Kingdom,0 days 01:43:50,0 days 00:10:04,0 days 07:22:41,0 days 00:10:04,0 days 06:43:31,0 days 16:10:09,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Richard Penny,Male,United Kingdom,0 days 01:42:00,0 days 00:06:08,0 days 07:57:31,0 days 00:06:08,0 days 06:20:29,0 days 16:12:16,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Robert Karban,Male,Austria,0 days 01:38:55,0 days 00:10:36,0 days 07:22:07,0 days 00:10:36,0 days 06:51:31,0 days 16:13:45,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Tim Bennett,Male,Norway,0 days 02:49:50,0 days 00:10:36,0 days 06:58:03,0 days 00:10:36,0 days 06:05:24,0 days 16:14:30,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Ãrjan Berntsen,Male,Norway,0 days 01:43:45,0 days 00:06:20,0 days 07:56:41,0 days 00:06:20,0 days 06:22:54,0 days 16:16:00,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Fredrik  Jensen,Male,Norway,0 days 01:21:40,0 days 00:08:01,0 days 07:10:55,0 days 00:08:01,0 days 07:31:28,0 days 16:20:05,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Philip  Stransky,Male,USA,0 days 01:22:30,0 days 00:08:42,0 days 07:24:34,0 days 00:08:42,0 days 07:16:06,0 days 16:20:35,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Thomas Dahlslett,Male,Norway,0 days 01:38:27,0 days 00:03:46,0 days 07:45:54,0 days 00:03:46,0 days 06:50:13,0 days 16:22:05,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Joel GranÃ©r,Male,Sweden,0 days 01:29:05,0 days 00:06:26,0 days 07:42:30,0 days 00:06:26,0 days 06:59:53,0 days 16:24:20,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Preben Utkvitne,Male,Norway,0 days 01:42:19,0 days 00:07:16,0 days 07:24:00,0 days 00:07:16,0 days 07:07:10,0 days 16:28:00,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
HÃ¥rek Stranheim,Male,Norway,0 days 01:20:28,0 days 00:09:34,0 days 07:56:28,0 days 00:09:34,0 days 06:55:19,0 days 16:31:24,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
